"Udem et al. (1997)"			1	0.8750	0.0068		"PRL 79, 2646 (1997)"
"Melnikov et al. (2000)"		2	0.883	0.014		"PRL 84, 1676 (2000)"
"Combined spect. data"			3	0.8758	0.0051		""
